"('timestamp', '')","('open', 'GBPUSD=X')","('high', 'GBPUSD=X')","('low', 'GBPUSD=X')","('close', 'GBPUSD=X')","('volume', 'GBPUSD=X')"
2025-05-27,1.3566679954528809,1.3587141036987305,1.3501471281051636,1.3565207719802856,0
2025-05-28,1.351515769958496,1.3522467613220215,1.3451164960861206,1.3513330221176147,0
2025-05-29,1.3426964282989502,1.3507490158081055,1.3421016931533813,1.3431472778320312,0
2025-05-30,1.3499648571014404,1.3511505126953125,1.3450984954833984,1.3498992919921875,0
2025-06-02,1.3469464778900146,1.355968952178955,1.3469464778900146,1.346728801727295,0
2025-06-03,1.3557300567626953,1.355821967124939,1.3494731187820435,1.3556748628616333,0
2025-06-04,1.3531616926193237,1.358105182647705,1.3502565622329712,1.353143334388733,0
2025-06-05,1.3551788330078125,1.3617299795150757,1.354132890701294,1.3552155494689941,0
2025-06-06,1.357994556427002,1.358540654182434,1.3508037328720093,1.3579576015472412,0
2025-06-09,1.3537296056747437,1.3581604957580566,1.3524478673934937,1.3538211584091187,0
2025-06-10,1.355380892753601,1.3564839363098145,1.3458950519561768,1.3556748628616333,0
2025-06-11,1.350858449935913,1.3557300567626953,1.3464748859405518,1.3508219718933105,0
2025-06-12,1.3568705320358276,1.3623607158660889,1.3526124954223633,1.3567416667938232,0
2025-06-13,1.36306631565094,1.3632521629333496,1.3517167568206787,1.3627691268920898,0
2025-06-16,1.3547013998031616,1.362323522567749,1.3536012172698975,1.3557006120681763,0
2025-06-17,1.3568521738052368,1.3580129146575928,1.3497644662857056,1.3565576076507568,0
2025-06-18,1.343075156211853,1.3477089405059814,1.3427865505218506,1.3430029153823853,0
2025-06-19,1.3415075540542603,1.3450080156326294,1.3383835554122925,1.3416515588760376,0
2025-06-20,1.3478723764419556,1.3511322736740112,1.3456052541732788,1.3476725816726685,0
2025-06-23,1.3436886072158813,1.3505300283432007,1.3373453617095947,1.3435983657836914,0
2025-06-24,1.3546464443206787,1.3646661043167114,1.353747844696045,1.3545364141464233,0
2025-06-25,1.361488938331604,1.3634381294250488,1.3592497110366821,1.361488938331604,0
2025-06-26,1.3691315650939941,1.3764814138412476,1.3678767681121826,1.369187831878662,0
2025-06-27,1.3726835250854492,1.3751753568649292,1.3705388307571411,1.37247633934021,0
2025-06-30,1.372062087059021,1.3741360902786255,1.3676148653030396,1.3719680309295654,0
2025-07-01,1.373437762260437,1.3788729906082153,1.3705388307571411,1.3730605840682983,0
2025-07-02,1.374721646308899,1.3753266334533691,1.356760025024414,1.374721646308899,0
2025-07-03,1.3651504516601562,1.3675214052200317,1.359194278717041,1.3650014400482178,0
2025-07-04,1.3666430711746216,1.3681762218475342,1.3635309934616089,1.366829752922058,0
2025-07-07,1.3643680810928345,1.3662322759628296,1.3576072454452515,1.362416386604309,0
