"('timestamp', '')","('open', 'CADCHF=X')","('high', 'CADCHF=X')","('low', 'CADCHF=X')","('close', 'CADCHF=X')","('volume', 'CADCHF=X')"
2025-05-27,0.5972099900245667,0.6010299921035767,0.59579998254776,0.5972099900245667,0
2025-05-28,0.5989199876785278,0.5996099710464478,0.5960999727249146,0.5989199876785278,0
2025-05-29,0.6009600162506104,0.6022199988365173,0.5953999757766724,0.6009600162506104,0
2025-05-30,0.595300018787384,0.5986599922180176,0.5939800143241882,0.595300018787384,0
2025-06-02,0.5989699959754944,0.5994499921798706,0.5950000286102295,0.5989699959754944,0
2025-06-03,0.5950199961662292,0.6006100177764893,0.5945000052452087,0.5950199961662292,0
2025-06-04,0.5999400019645691,0.6009500026702881,0.5976999998092651,0.5999400019645691,0
2025-06-05,0.5978800058364868,0.6013799905776978,0.5975000262260437,0.5978800058364868,0
2025-06-06,0.5993599891662598,0.6023899912834167,0.5994700193405151,0.5993599891662598,0
2025-06-09,0.5997800230979919,0.6006600260734558,0.5981000065803528,0.5997800230979919,0
2025-06-10,0.599399983882904,0.6015400290489197,0.5978000164031982,0.599399983882904,0
2025-06-11,0.6012499928474426,0.6018099784851074,0.5986999869346619,0.6012499928474426,0
2025-06-12,0.5988699793815613,0.5989900231361389,0.5943999886512756,0.5988699793815613,0
2025-06-13,0.5950000286102295,0.5978299975395203,0.5912299752235413,0.5950000286102295,0
2025-06-16,0.5968999862670898,0.5989699959754944,0.5963000059127808,0.5968999862670898,0
2025-06-17,0.599370002746582,0.6003400087356567,0.597599983215332,0.599370002746582,0
2025-06-18,0.596809983253479,0.5989800095558167,0.5964999794960022,0.596809983253479,0
2025-06-19,0.5979099869728088,0.598580002784729,0.5946000218391418,0.5979099869728088,0
2025-06-20,0.595990002155304,0.5965800285339355,0.593999981880188,0.595990002155304,0
2025-06-23,0.5951099991798401,0.5954099893569946,0.5903000235557556,0.5951099991798401,0
2025-06-24,0.5917800068855286,0.5921000242233276,0.5861999988555908,0.5917800068855286,0
2025-06-25,0.5864700078964233,0.5882800221443176,0.5855000019073486,0.5864700078964233,0
2025-06-26,0.5860400199890137,0.5871400237083435,0.583299994468689,0.5860400199890137,0
2025-06-27,0.5869100093841553,0.5874199867248535,0.5831000208854675,0.5869100093841553,0
2025-06-30,0.5833699703216553,0.5844500064849854,0.5820000171661377,0.5833699703216553,0
2025-07-01,0.5826399922370911,0.5825499892234802,0.5784000158309937,0.5826399922370911,0
2025-07-02,0.5795199871063232,0.5821400284767151,0.5788999795913696,0.5795199871063232,0
2025-07-03,0.582099974155426,0.5865399837493896,0.5809000134468079,0.582099974155426,0
2025-07-04,0.5849300026893616,0.5853999853134155,0.582099974155426,0.5849300026893616,0
2025-07-07,0.5832099914550781,0.5849199891090393,0.5816599726676941,0.5842999815940857,0
