"('timestamp', '')","('open', 'USDCHF=X')","('high', 'USDCHF=X')","('low', 'USDCHF=X')","('close', 'USDCHF=X')","('volume', 'USDCHF=X')"
2025-05-27,0.8204200267791748,0.8279200196266174,0.8187000155448914,0.8204200267791748,0
2025-05-28,0.8272600173950195,0.8288400173187256,0.8245999813079834,0.8272600173950195,0
2025-05-29,0.8325499892234802,0.8345999717712402,0.822700023651123,0.8325499892234802,0
2025-05-30,0.8219699859619141,0.8248400092124939,0.8199800252914429,0.8219699859619141,0
2025-06-02,0.8222699761390686,0.8228200078010559,0.8155999779701233,0.8222699761390686,0
2025-06-03,0.8159400224685669,0.8246300220489502,0.8158599734306335,0.8159400224685669,0
2025-06-04,0.8228899836540222,0.8248199820518494,0.8177000284194946,0.8228899836540222,0
2025-06-05,0.8179699778556824,0.8212800025939941,0.8172500133514404,0.8179699778556824,0
2025-06-06,0.8192499876022339,0.8247100114822388,0.8191999793052673,0.8192499876022339,0
2025-06-09,0.8212599754333496,0.8224200010299683,0.819100022315979,0.8212599754333496,0
2025-06-10,0.8212000131607056,0.8240699768066406,0.8205000162124634,0.8212000131607056,0
2025-06-11,0.8219199776649475,0.8234000205993652,0.8187000155448914,0.8219199776649475,0
2025-06-12,0.8184000253677368,0.8187599778175354,0.8104000091552734,0.8184000253677368,0
2025-06-13,0.8090000152587891,0.8145899772644043,0.805649995803833,0.8090000152587891,0
2025-06-16,0.8122159838676453,0.8133800029754639,0.8087999820709229,0.8122159838676453,0
2025-06-17,0.8137099742889404,0.8163800239562988,0.8118000030517578,0.8137099742889404,0
2025-06-18,0.8168699741363525,0.818149983882904,0.8151999711990356,0.8168699741363525,0
2025-06-19,0.8190600275993347,0.8214399814605713,0.8155999779701233,0.8190600275993347,0
2025-06-20,0.8163899779319763,0.8182600140571594,0.8151000142097473,0.8163899779319763,0
2025-06-23,0.8177499771118164,0.8193600177764893,0.8120999932289124,0.8177499771118164,0
2025-06-24,0.8125799894332886,0.812969982624054,0.8037999868392944,0.8125799894332886,0
2025-06-25,0.8051499724388123,0.8079000115394592,0.8039000034332275,0.8051499724388123,0
2025-06-26,0.8037300109863281,0.8041899800300598,0.7981299757957458,0.8037300109863281,0
2025-06-27,0.8008900284767151,0.8017100095748901,0.7960100173950195,0.8008900284767151,0
2025-06-30,0.7982500195503235,0.7993299961090088,0.7937999963760376,0.7982500195503235,0
2025-07-01,0.7927200198173523,0.793470025062561,0.7874000072479248,0.7927200198173523,0
2025-07-02,0.790690004825592,0.7940499782562256,0.7903199791908264,0.790690004825592,0
2025-07-03,0.7914999723434448,0.7985799908638,0.7900000214576721,0.7914999723434448,0
2025-07-04,0.7940999865531921,0.7948700189590454,0.7922000288963318,0.7940999865531921,0
2025-07-07,0.7940000295639038,0.7983999848365784,0.7927899956703186,0.7968500256538391,0
