"('timestamp', '')","('open', 'GBPCHF=X')","('high', 'GBPCHF=X')","('low', 'GBPCHF=X')","('close', 'GBPCHF=X')","('volume', 'GBPCHF=X')"
2025-05-27,1.1128300428390503,1.1205500364303589,1.1119500398635864,1.1128300428390503,0
2025-05-28,1.1178100109100342,1.1185699701309204,1.1117000579833984,1.1178100109100342,0
2025-05-29,1.118149995803833,1.1200499534606934,1.109660029411316,1.118149995803833,0
2025-05-30,1.1096299886703491,1.111430048942566,1.1073100566864014,1.1096299886703491,0
2025-06-02,1.107300043106079,1.1100300550460815,1.1049599647521973,1.107300043106079,0
2025-06-03,1.1060600280761719,1.1147199869155884,1.104699969291687,1.1060600280761719,0
2025-06-04,1.1133999824523926,1.1152499914169312,1.1096999645233154,1.1133999824523926,0
2025-06-05,1.1084599494934082,1.1152399778366089,1.1083099842071533,1.1084599494934082,0
2025-06-06,1.1125600337982178,1.1153899431228638,1.1110999584197998,1.1125600337982178,0
2025-06-09,1.1117700338363647,1.11381995677948,1.1115000247955322,1.1117700338363647,0
2025-06-10,1.113219976425171,1.114359974861145,1.106600046157837,1.113219976425171,0
2025-06-11,1.110260009765625,1.111109972000122,1.1080000400543213,1.110260009765625,0
2025-06-12,1.110450029373169,1.1109199523925781,1.1023000478744507,1.110450029373169,0
2025-06-13,1.1021000146865845,1.1039700508117676,1.0932400226593018,1.1021000146865845,0
2025-06-16,1.1002800464630127,1.1049799919128418,1.0991699695587158,1.1002800464630127,0
2025-06-17,1.1037800312042236,1.105049967765808,1.0988999605178833,1.1037800312042236,0
2025-06-18,1.096940040588379,1.1013000011444092,1.0965700149536133,1.096940040588379,0
2025-06-19,1.098680019378662,1.1009999513626099,1.0951600074768066,1.098680019378662,0
2025-06-20,1.1000900268554688,1.1032899618148804,1.098270058631897,1.1000900268554688,0
2025-06-23,1.098639965057373,1.0990999937057495,1.0939699411392212,1.098639965057373,0
2025-06-24,1.1005799770355225,1.1038899421691895,1.0952999591827393,1.1005799770355225,0
2025-06-25,1.0961500406265259,1.099370002746582,1.0954099893569946,1.0961500406265259,0
2025-06-26,1.1002899408340454,1.101680040359497,1.0964000225067139,1.1002899408340454,0
2025-06-27,1.0990500450134277,1.1004300117492676,1.0940699577331543,1.0990500450134277,0
2025-06-30,1.095080018043518,1.0963399410247803,1.0887700319290161,1.095080018043518,0
2025-07-01,1.088539958000183,1.0891499519348145,1.083400011062622,1.088539958000183,0
2025-07-02,1.0867899656295776,1.0882200002670288,1.0755000114440918,1.0867899656295776,0
2025-07-03,1.0805200338363647,1.0864499807357788,1.0782500505447388,1.0805200338363647,0
2025-07-04,1.085279941558838,1.0855799913406372,1.0815000534057617,1.085279941558838,0
2025-07-07,1.0842000246047974,1.0871200561523438,1.0809500217437744,1.0858900547027588,0
