"('timestamp', '')","('open', 'GBPCAD=X')","('high', 'GBPCAD=X')","('low', 'GBPCAD=X')","('close', 'GBPCAD=X')","('volume', 'GBPCAD=X')"
2025-05-27,1.8631500005722046,1.866919994354248,1.8588999509811401,1.8631500005722046,0
2025-05-28,1.8661400079727173,1.8679100275039673,1.8597500324249268,1.8661400079727173,0
2025-05-29,1.8602399826049805,1.8646600246429443,1.8592599630355835,1.8602399826049805,0
2025-05-30,1.8638099431991577,1.8647700548171997,1.8512699604034424,1.8638099431991577,0
2025-06-02,1.8484300374984741,1.8574600219726562,1.848449945449829,1.8484300374984741,0
2025-06-03,1.858590006828308,1.8592499494552612,1.852929949760437,1.858590006828308,0
2025-06-04,1.8555799722671509,1.8569200038909912,1.8515000343322754,1.8555799722671509,0
2025-06-05,1.8537100553512573,1.8578100204467773,1.8516099452972412,1.8537100553512573,0
2025-06-06,1.8559900522232056,1.8559399843215942,1.8497999906539917,1.8559900522232056,0
2025-06-09,1.8533400297164917,1.8569300174713135,1.8514200448989868,1.8533400297164917,0
2025-06-10,1.8570400476455688,1.8576099872589111,1.8470200300216675,1.8570400476455688,0
2025-06-11,1.8463399410247803,1.8524600267410278,1.8416199684143066,1.8463399410247803,0
2025-06-12,1.8533999919891357,1.8571399450302124,1.8487199544906616,1.8533999919891357,0
2025-06-13,1.8525999784469604,1.8529000282287598,1.8415800333023071,1.8525999784469604,0
2025-06-16,1.8540359735488892,1.8453400135040283,1.8400399684906006,1.8540359735488892,0
2025-06-17,1.8413399457931519,1.8429900407791138,1.8345799446105957,1.8413399457931519,0
2025-06-18,1.8375500440597534,1.843309998512268,1.8339799642562866,1.8375500440597534,0
2025-06-19,1.8373299837112427,1.8464499711990356,1.8361999988555908,1.8373299837112427,0
2025-06-20,1.845620036125183,1.8531099557876587,1.8453799486160278,1.845620036125183,0
2025-06-23,1.8457759618759155,1.8580800294876099,1.8437999486923218,1.8457759618759155,0
2025-06-24,1.8593300580978394,1.868149995803833,1.8584200143814087,1.8593300580978394,0
2025-06-25,1.8687800168991089,1.8735500574111938,1.8672499656677246,1.8687800168991089,0
2025-06-26,1.8772499561309814,1.8831100463867188,1.8713500499725342,1.8772499561309814,0
2025-06-27,1.872130036354065,1.876579999923706,1.871150016784668,1.872130036354065,0
2025-06-30,1.876889944076538,1.8788700103759766,1.8670099973678589,1.876889944076538,0
2025-07-01,1.8680700063705444,1.8746700286865234,1.8681000471115112,1.8680700063705444,0
2025-07-02,1.875440001487732,1.876520037651062,1.8508199453353882,1.875440001487732,0
2025-07-03,1.8545600175857544,1.8582500219345093,1.8500399589538574,1.8545600175857544,0
2025-07-04,1.8550200462341309,1.85739004611969,1.8525999784469604,1.8550200462341309,0
2025-07-07,1.857100009918213,1.8612699508666992,1.853219985961914,1.8583699464797974,0
