timestamp,open,high,low,close
2025-05-06 09:12:32,1.13251,1.13251,1.13251,1.13251
2025-05-06 09:13:56,1.13265,1.13265,1.13265,1.13265
2025-05-06 09:16:15,1.13238,1.13238,1.13238,1.13238
2025-05-06 09:17:55,1.13248,1.13248,1.13248,1.13248
2025-05-06 09:19:17,1.13266,1.13266,1.13266,1.13266
2025-05-06 09:20:28,1.13223,1.13223,1.13223,1.13223
2025-05-06 09:21:54,1.13232,1.13232,1.13232,1.13232
2025-05-06 09:23:56,1.1323,1.1323,1.1323,1.1323
2025-05-06 09:39:04,1.13199,1.13199,1.13199,1.13199
2025-05-06 09:40:09,1.13187,1.13187,1.13187,1.13187
2025-05-06 09:41:56,1.1323,1.1323,1.1323,1.1323
2025-05-06 09:43:50,1.13207,1.13207,1.13207,1.13207
2025-05-06 09:45:51,1.13203,1.13203,1.13203,1.13203
2025-05-06 09:47:06,1.13185,1.13185,1.13185,1.13185
2025-05-06 09:48:58,1.13157,1.13157,1.13157,1.13157
2025-05-06 09:50:24,1.13131,1.13131,1.13131,1.13131
2025-05-06 09:53:05,1.13096,1.13096,1.13096,1.13096
2025-05-06 10:03:38,1.13147,1.13147,1.13147,1.13147
2025-05-06 10:05:29,1.13138,1.13138,1.13138,1.13138
2025-05-06 10:07:24,1.13176,1.13176,1.13176,1.13176
2025-05-06 10:09:10,1.13194,1.13194,1.13194,1.13194
2025-05-06 10:17:29,1.1315,1.1315,1.1315,1.1315
2025-05-06 10:18:37,1.13128,1.13128,1.13128,1.13128
2025-05-06 10:23:50,1.13134,1.13134,1.13134,1.13134
2025-05-06 10:24:00,1.13146,1.13146,1.13146,1.13146
2025-05-06 10:25:33,1.1316,1.1316,1.1316,1.1316
2025-05-06 10:30:49,1.13153,1.13153,1.13153,1.13153
2025-05-06 10:32:04,1.13195,1.13195,1.13195,1.13195
2025-05-06 10:49:01,1.13204,1.13204,1.13204,1.13204
