"('timestamp', '')","('open', 'NZDUSD=X')","('high', 'NZDUSD=X')","('low', 'NZDUSD=X')","('close', 'NZDUSD=X')","('volume', 'NZDUSD=X')"
2025-05-27,0.5995203852653503,0.6007088422775269,0.594219446182251,0.5994700789451599,0
2025-05-28,0.5949193835258484,0.5979609489440918,0.5924907326698303,0.5948100686073303,0
2025-05-29,0.5955606698989868,0.5992796421051025,0.5927190184593201,0.5959084630012512,0
2025-05-30,0.5977214574813843,0.5990606546401978,0.5948910713195801,0.5978608727455139,0
2025-06-02,0.5976000428199768,0.6039705276489258,0.5976000428199768,0.5973109006881714,0
2025-06-03,0.6048911213874817,0.6055211424827576,0.5989817380905151,0.6047887206077576,0
2025-06-04,0.6006006002426147,0.6034602522850037,0.5993514657020569,0.6006113886833191,0
2025-06-05,0.6026892066001892,0.6080912351608276,0.6026892066001892,0.6027400493621826,0
2025-06-06,0.604251503944397,0.6053001284599304,0.6007485389709473,0.6042296290397644,0
2025-06-09,0.6023297905921936,0.6065899729728699,0.6015182137489319,0.6024205088615417,0
2025-06-10,0.6050412058830261,0.6060000061988831,0.6029199361801147,0.6050887703895569,0
2025-06-11,0.6060385704040527,0.6064906716346741,0.602558434009552,0.6059100031852722,0
2025-06-12,0.6037407517433167,0.6072013974189758,0.6006907820701599,0.6036598682403564,0
2025-06-13,0.6065899729728699,0.6066415309906006,0.5996785759925842,0.6065201163291931,0
2025-06-16,0.6017897129058838,0.6088094711303711,0.6005393266677856,0.603900134563446,0
2025-06-17,0.6053488850593567,0.6080210208892822,0.6045584082603455,0.6049203872680664,0
2025-06-18,0.6020506024360657,0.6049387454986572,0.6017716526985168,0.6019382476806641,0
2025-06-19,0.6029689908027649,0.6031217575073242,0.5960505604743958,0.6029508709907532,0
2025-06-20,0.6001500487327576,0.6008604168891907,0.5965412855148315,0.6000816226005554,0
2025-06-23,0.5963598489761353,0.5965590476989746,0.5884602665901184,0.5962104797363281,0
2025-06-24,0.599621057510376,0.6041091680526733,0.5989602208137512,0.5995383262634277,0
2025-06-25,0.601189136505127,0.6040689945220947,0.6011099815368652,0.6011313199996948,0
2025-06-26,0.6053781509399414,0.6074005365371704,0.6030490398406982,0.6055908203125,0
2025-06-27,0.6061707735061646,0.6078695058822632,0.6053305268287659,0.6058990359306335,0
2025-06-30,0.6064208149909973,0.6090801954269409,0.6058182716369629,0.6063987016677856,0
2025-07-01,0.6091803908348083,0.6121187210083008,0.6078583598136902,0.6092397570610046,0
2025-07-02,0.6100499629974365,0.610679566860199,0.6051583886146545,0.6100797653198242,0
2025-07-03,0.6090393662452698,0.609358549118042,0.6032490730285645,0.6089392304420471,0
2025-07-04,0.6079211831092834,0.6082798838615417,0.6051583886146545,0.608009934425354,0
2025-07-07,0.6065384745597839,0.606648862361908,0.5991970896720886,0.600744903087616,0
