"('timestamp', '')","('open', 'EURUSD=X')","('high', 'EURUSD=X')","('low', 'EURUSD=X')","('close', 'EURUSD=X')","('volume', 'EURUSD=X')"
2025-05-27,1.1388484239578247,1.1409013271331787,1.1325156688690186,1.1388484239578247,0
2025-05-28,1.1337097883224487,1.1345586776733398,1.128426194190979,1.1337097883224487,0
2025-05-29,1.123368263244629,1.1369450092315674,1.12271249294281,1.123368263244629,0
2025-05-30,1.1378376483917236,1.1390429735183716,1.1314393281936646,1.1378376483917236,0
2025-06-02,1.1353315114974976,1.1449114084243774,1.135589361190796,1.1353315114974976,0
2025-06-03,1.1453442573547363,1.145514726638794,1.1367640495300293,1.1453442573547363,0
2025-06-04,1.1384464502334595,1.143458366394043,1.1359375715255737,1.1384464502334595,0
2025-06-05,1.1422044038772583,1.1494252681732178,1.1406149864196777,1.1422044038772583,0
2025-06-06,1.1453834772109985,1.1458691358566284,1.137229561805725,1.1453834772109985,0
2025-06-09,1.1407841444015503,1.1440337896347046,1.138757586479187,1.1407841444015503,0
2025-06-10,1.1428048610687256,1.1448328495025635,1.1374623775482178,1.1428048610687256,0
2025-06-11,1.143746018409729,1.149095058441162,1.1406019926071167,1.143746018409729,0
2025-06-12,1.1509333848953247,1.1628718376159668,1.1502846479415894,1.1509333848953247,0
2025-06-13,1.1600254774093628,1.1612108945846558,1.1492931842803955,1.1600254774093628,0
2025-06-16,1.1556684970855713,1.1614806652069092,1.1524852514266968,1.1556684970855713,0
2025-06-17,1.1551345586776733,1.1574074029922485,1.1512514352798462,1.1551345586776733,0
2025-06-18,1.1482638120651245,1.1530035734176636,1.1482374668121338,1.1482638120651245,0
2025-06-19,1.1477497816085815,1.1486859321594238,1.1448458433151245,1.1477497816085815,0
2025-06-20,1.1512778997421265,1.1534557342529297,1.1496102809906006,1.1512778997421265,0
2025-06-23,1.1500862836837769,1.1551746129989624,1.1455540657043457,1.1500862836837769,0
2025-06-24,1.1599044799804688,1.1635890007019043,1.1582921743392944,1.1599044799804688,0
2025-06-25,1.161224365234375,1.1631423234939575,1.1590977907180786,1.161224365234375,0
2025-06-26,1.1683744192123413,1.1743428707122803,1.1668611764907837,1.1683744192123413,0
2025-06-27,1.1692214012145996,1.1750881671905518,1.1684290170669556,1.1692214012145996,0
2025-06-30,1.1727453470230103,1.177163004875183,1.170905351638794,1.1727453470230103,0
2025-07-01,1.178717017173767,1.1830259561538696,1.1767750978469849,1.178717017173767,0
2025-07-02,1.180553913116455,1.1810001134872437,1.1749224662780762,1.180553913116455,0
2025-07-03,1.18002450466156,1.1813349723815918,1.1720856428146362,1.18002450466156,0
2025-07-04,1.1771491765975952,1.1786893606185913,1.1756683588027954,1.1771491765975952,0
2025-07-07,1.1784114837646484,1.1792453527450562,1.172195553779602,1.1742602586746216,0
