"('timestamp', '')","('open', 'USDCAD=X')","('high', 'USDCAD=X')","('low', 'USDCAD=X')","('close', 'USDCAD=X')","('volume', 'USDCAD=X')"
2025-05-27,1.373579978942871,1.377750039100647,1.3720999956130981,1.373579978942871,0
2025-05-28,1.38100004196167,1.3842500448226929,1.380079984664917,1.38100004196167,0
2025-05-29,1.3851100206375122,1.3860399723052979,1.3785500526428223,1.3851100206375122,0
2025-05-30,1.3805700540542603,1.3829400539398193,1.3743799924850464,1.3805700540542603,0
2025-06-02,1.3726199865341187,1.3727500438690186,1.367400050163269,1.3726199865341187,0
2025-06-03,1.3710700273513794,1.374150037765503,1.370300054550171,1.3710700273513794,0
2025-06-04,1.371500015258789,1.3730900287628174,1.3663500547409058,1.371500015258789,0
2025-06-05,1.3679100275039673,1.3683300018310547,1.363510012626648,1.3679100275039673,0
2025-06-06,1.36667001247406,1.3703999519348145,1.3659000396728516,1.36667001247406,0
2025-06-09,1.3690600395202637,1.3706899881362915,1.3668999671936035,1.3690600395202637,0
2025-06-10,1.3698899745941162,1.3728200197219849,1.3667900562286377,1.3698899745941162,0
2025-06-11,1.3668299913406372,1.3687900304794312,1.3649799823760986,1.3668299913406372,0
2025-06-12,1.366569995880127,1.367400050163269,1.3609100580215454,1.366569995880127,0
2025-06-13,1.3596500158309937,1.364959955215454,1.3573999404907227,1.3596500158309937,0
2025-06-16,1.3583999872207642,1.360610008239746,1.3540600538253784,1.3583999872207642,0
2025-06-17,1.357450008392334,1.3599799871444702,1.3555999994277954,1.357450008392334,0
2025-06-18,1.3683600425720215,1.3693599700927734,1.3634099960327148,1.3683600425720215,0
2025-06-19,1.3696000576019287,1.3744299411773682,1.3694499731063843,1.3696000576019287,0
2025-06-20,1.3695499897003174,1.3744100332260132,1.3687000274658203,1.3695499897003174,0
2025-06-23,1.3739299774169922,1.3797500133514404,1.3725999593734741,1.3739299774169922,0
2025-06-24,1.3728599548339844,1.3733199834823608,1.3679800033569336,1.3728599548339844,0
2025-06-25,1.3726600408554077,1.3754299879074097,1.3716000318527222,1.3726600408554077,0
2025-06-26,1.3711999654769897,1.3721799850463867,1.3625999689102173,1.3711999654769897,0
2025-06-27,1.3643100261688232,1.3666800260543823,1.3627599477767944,1.3643100261688232,0
2025-06-30,1.3681399822235107,1.369729995727539,1.361840009689331,1.3681399822235107,0
2025-07-01,1.3605400323867798,1.3664699792861938,1.3590799570083618,1.3605400323867798,0
2025-07-02,1.3644299507141113,1.365839958190918,1.3621000051498413,1.3644299507141113,0
2025-07-03,1.3587100505828857,1.3623299598693848,1.3558100461959839,1.3587100505828857,0
2025-07-04,1.357300043106079,1.3611700534820557,1.3565700054168701,1.357300043106079,0
2025-07-07,1.3602999448776245,1.3685499429702759,1.3588000535964966,1.3638900518417358,0
